,ts_code
0,301052.SZ
1,301259.SZ
2,301283.SZ
3,301117.SZ
4,003012.SZ
5,300989.SZ
6,300804.SZ
7,300984.SZ
8,301336.SZ
9,300188.SZ
10,300516.SZ
11,300654.SZ
12,301076.SZ
13,002700.SZ
14,301376.SZ
15,301069.SZ
16,300252.SZ
17,300600.SZ
18,002752.SZ
19,001376.SZ
20,300194.SZ
21,002604.SZ
22,301395.SZ
23,300908.SZ
24,301133.SZ
25,300374.SZ
26,300428.SZ
27,301558.SZ
28,002812.SZ
29,300299.SZ
30,300565.SZ
31,300919.SZ
32,002789.SZ
33,001366.SZ
34,301176.SZ
35,300853.SZ
36,301005.SZ
37,301095.SZ
38,002960.SZ
39,300742.SZ
40,301555.SZ
41,301566.SZ
42,301121.SZ
43,301152.SZ
44,300902.SZ
45,300679.SZ
46,002977.SZ
47,002952.SZ
48,301083.SZ
49,301148.SZ
50,300787.SZ
51,300696.SZ
52,002983.SZ
53,300841.SZ
54,301606.SZ
55,300719.SZ
56,301446.SZ
57,301235.SZ
58,300597.SZ
59,301567.SZ
60,301568.SZ
61,300839.SZ
62,300700.SZ
63,300685.SZ
64,300703.SZ
65,002887.SZ
66,301509.SZ
67,300879.SZ
68,002938.SZ
69,301510.SZ
70,300998.SZ
71,301028.SZ
72,001387.SZ
73,301280.SZ
74,300915.SZ
75,301071.SZ
76,300818.SZ
77,301230.SZ
78,001223.SZ
79,301070.SZ
80,300906.SZ
81,301233.SZ
82,301105.SZ
83,300741.SZ
84,002950.SZ
85,301392.SZ
86,300768.SZ
87,300982.SZ
88,001236.SZ
89,002936.SZ
90,300894.SZ
91,300949.SZ
92,002975.SZ
93,002061.SZ
94,301580.SZ
95,300969.SZ
96,301314.SZ
97,300789.SZ
98,002935.SZ
99,301260.SZ
100,301159.SZ
101,301312.SZ
102,301512.SZ
103,300990.SZ
104,300551.SZ
105,002187.SZ
106,300577.SZ
107,002871.SZ
108,300777.SZ
109,300722.SZ
110,301197.SZ
111,301322.SZ
112,301203.SZ
113,301487.SZ
114,300986.SZ
115,002980.SZ
116,002110.SZ
117,300660.SZ
118,300932.SZ
119,300765.SZ
120,300843.SZ
121,300669.SZ
122,300922.SZ
123,301338.SZ
124,300636.SZ
125,300170.SZ
126,002484.SZ
127,300939.SZ
128,301209.SZ
129,301157.SZ
130,301062.SZ
131,301328.SZ
132,301300.SZ
133,300870.SZ
134,301397.SZ
135,301246.SZ
136,301239.SZ
137,002372.SZ
138,300081.SZ
139,301100.SZ
140,301548.SZ
141,301379.SZ
142,002771.SZ
143,000100.SZ
144,002001.SZ
145,301090.SZ
146,301327.SZ
147,002002.SZ
148,301608.SZ
149,301589.SZ
150,301213.SZ
151,301019.SZ
152,301182.SZ
153,300648.SZ
154,300980.SZ
155,300807.SZ
156,301413.SZ
157,300910.SZ
158,300811.SZ
159,300946.SZ
160,301089.SZ
161,301123.SZ
162,300504.SZ
163,301048.SZ
164,301029.SZ
